ID,Company,Approval Memo,Type of Company ,Incubaton Track,Industry,Country of Origin,Funding Stage,Funding Since Joining QSTP,Sources of Funding,Status,Program Join Date,Graduation Date,Place of Incorporation,Registration Status,Date of Incorporation,Lease / Incubation Agreement,Agreement Signing Date,Agreement Start Date, Agreement Expiry Date,QSTP License Status,License Release Date,License Expiry Date,Location,Leased Space, Total Employees, Qatari Employees, Male Employees, Female Employees,"Researchers, Scientists, Engineers (RSE)", Qatari RSE, Male RSE, Female RSE,  Investment (2024) , Revenue (2024),"a
", Additional Information,Remarks,Founder / Licensee Manager,Email,Report Date,Approval Memo Status2,Registration Status CR,Registration (MOCI/QFC),CR Status,Lease / Incubation Agreement Status,Agreement Start Date2,Agreement Expiry Date, License,Remarks/ Registration,Registration Satus ,Step 1 (doc & Info recive ),Step 2,Step 3 (CR) ,Step 4
405,Innovade AI ,06-Jan-26,Startup,Full Incubation,Enterprise SaaS,Pakistan,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,,,,,,,,,,,"Innovade AI is building a Deep Tech AI-native 
platform for software engineering and product 
teams where intelligent AI agents automate 
project planning, sprinting, issue tracking, and 
cross-platform collaboration. The platform cuts 
down 6-8 hrs per project and 3.5 hrs per day 
switching between software tools",,,,muhammadzamilkhalid2@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
406,Guidance & Innovation Hub (GIH),06-Jan-26,Startup,Full Incubation,EdTech,Qatar,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,,,,,,,,,,,"GIH is a Qatar-born EdTech startup developing 
an AI-powered educational guidance platform for 
high school students. The platform uses a 
proprietary AI engine to analyze over 15,000 
data points about students and match them with 
universities and majors that fit their needs and 
profiles",,,Mubarak  Al-Naemi,Mubarak@gih.qa,,Completed,Completed,MOCI,Completed,In Progress,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
407,GreatCatalog,06-Jan-26,Startup,Full Incubation,MediaTech,Ukraine,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,,,,,,,,,,,"GreatCatalog is a SaaS platform utilizing AI and 
AR to create 3D models of real furniture 
products for the interior design industry targeting 
brands, manufacturers, designers and 
consumers to help them access and use 3D 
models",,,,zharnikov.n3d@gmail.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
408,Luminary Therapeutic,06-Jan-26,Startup,Full Incubation,HealthTech,United States,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,,,,,,,,,,,"Luminary Therapeutics is a clinical-stage 
biotechnology company developing nextgeneration CAR T-cell therapies that integrate 
advanced CAR engineering, novel targets and 
proprietary manufacturing innovations to create 
durable, transformative treatments that could 
become broadly accessible to patients with 
cancer and autoimmune diseases",,,,j.liter@luminarytx.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
409,AirTrack,06-Jan-26,Startup,Full Incubation,MediaTech,Qatar,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,,,,,,,,,,,"AirTrack is a deep-tech software startup that 
provides touchless, AI-powered gesture control 
for kiosks, smart displays and infotainment 
systems in airports, hospitals and public 
environments. The solution uses computer vision 
and real-time hand tracking to replace physical 
touch with intuitive, hygienic, hands-free 
interaction with just a webcam.",,,,ehsanmuhammed20@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
410,AlsterrLab,22-Dec-25,Startup,Full Incubation,DeepTech,Germany,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,,,,,,,,,,,"AlsterrLab is the biotech-driven smart textile SME 
located in Mainz, Germany. They develop bioactive 
yarns for high-performance compression garments 
addressing muscle spasm, bromodosis (sweatand odour-driven skin discomfort) and chronic 
wounds (diabetic etiology).",,,,e.khan@alsterrlab.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
411,Edgeon Technologies,22-Dec-25,Startup,Full Incubation,DeepTech,Qatar,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Tech2 Unit 210-189,,,,,,,,,,,,"Edgeon Technologies is a Qatar-founded deep-tech 
startup developing next-generation fast EV 
chargers and grid-edge power electronics optimized 
for harsh and arid climates. The company has built 
a solid IP foundation with 10 disclosures, including 
multiple granted US patents, strengthening its 
competitive advantage",,,,sbayhan@hbku.edu.qa,,Completed,Completed,QFC ,Completed,In Progress,,,Completed,Incubation Agreement,Completed,Completed,Completed,Completed,Completed
412,Nexus L.L.C,22-Dec-25,Startup,Full Incubation,Enterprise SaaS,United States,Pending,,NA,Active,,,NA,In Progress,Pending,Pending,15-Jan-26,,15-Jan-27,,,,Tech2 Unit 210-180,,,,,,,,,,,,"FelixFusion is a full‑stack, AI‑powered marketplace 
that helps mid‑sized suppliers win and deliver 
government contracts by automating tender 
discovery, compliance, proposal generation, and 
fulfilment using agentic AI and decision 
intelligence. Their model is already validated with 
multiple vendors in North America and FelixFusion 
has been selected by top programs such as 
Techstars and Alchemist for its innovation in 
public‑sector procurement",,,,khalid@elselabs.io,,Completed,Completed,MOCI,Completed,Completed,15-Jan-26,15-Jan-27,Completed,,Completed,Completed,Completed,Completed,Completed
413,Lugha.ai,22-Dec-25,Startup,Full Incubation,EdTech,Qatar,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,,,,,,,,,,,"Lugha.ai is a dedicated AI-powered platform 
engineered to solve the single most significant 
barrier for new Arabic learners. The app provides a 
single, unified curriculum that intelligently teaches 
both Modern Standard Arabic (MSA) and a spoken 
dialect simultaneously. It is engineered to be the 
definitive bridge between academic learning and 
real-world communication, making learners both 
literate and conversational-ready from day one.",,,,z.olzhasbek@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
414,Growmax,22-Dec-25,Startup,Full Incubation,Enterprise SaaS,Qatar,Pending,,NA,Active,,,NA,In Progress,Pending,Pending,,,Pending,,,,Tech2 Unit 210-196,,,,,,,,,,,,"Growmax is a SaaS platform built for online 
businesses in the MENA region, offering an all-inone CRM that centralizes e-commerce operations 
such as order management, customer tracking, 
deliveries, cash-on-delivery logistics, and KPI 
monitoring. Unlike traditional store builders, 
Growmax focuses on streamlining operations and 
empowering SMEs through integrated tools and 
training for sustainable growth.",,,khaoula touijer ,khaoula.touijer@gmail.com,,Completed,Completed,QFC,Completed,Completed,10-Feb-26,09-Feb-27,Completed,Completed,Completed,Completed,Completed,Completed,Completed
415,Dermalink,22-Dec-25,Startup,Full Incubation,BioTech,Iran,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,3,,,,3,,,,,,"Dermalink is a deep-tech biomedical startup 
developing a smart, non-invasive wearable 
platform for personalized drug delivery and realtime biosensing. Their mission is to make therapy 
painless, adaptive, and connected, transforming 
how chronic diseases such as obesity, diabetes, 
and metabolic disorders are managed",,,,Hossein.mahmoodian@gmail.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
416,GHB Business Entrepreneurs (Muhkam),22-Dec-25,Startup,Full Incubation,Enterprise SaaS,Qatar,Pre-Seed,0,NA,Active,,,QFC,Comlpeted,26-Mar-25,Completed,26-Jan-26,,"January 26, 2027",,,,Tech 2 Unit 210-187,,9,,,,4,,,,,,"Muhkam is an AI-powered platform that unifies 
Audit, Governance, Compliance, and Risk into one 
intelligent system. Designed for Arabic, MENA 
region, and Islamic regulatory frameworks for 
banking and SMEs, it delivers continuous 
oversight, AI-driven workflows, and regulator-ready 
reporting",,,Hatem Eladl,hatem.eladl@ghbemea.com,,Completed,Completed,QFC,Completed,In Progress,,,Completed,Completed,Completed,,,,
417,InthraOS,22-Dec-25,Startup,Full Incubation,Cybersecurity,United States,Pending,,NA,Onboarding,,,NA,In Progress,Pending,Pending,,,Pending,,,,Pending,,,,,,,,,,,,"InthraOS is a privacy-first AI operating system that 
runs fully inside an enterprise’s own boundary on 
devices, in their VPC, or on-prem, so organizations 
can use AI without sending sensitive data to thirdparty clouds. Their platform includes: InthraOSDK, 
Enterprise Control Plane, and Cryptographic 
Privacy Receipts",,,,sebastienfenelon@inthraOS.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
418,Mas'oul,06-Jan-26,Startup,Entry Track,HealthTech,Switzerland,Idea,$0.00,NA,Active,08-Mar-26,19/05/2026,NA,NA,NA,,15-Feb-26,,"May 8, 2026",,,,Pending,,12,,,,4,,,,,,"Mas'Oul is developing a wellbeing discount app 
enabling companies to boost their employees' 
wellbeing and directly fund local social 
initiatives/organizations. Up to 75% of each 
voucher sale is allocated to vetted social 
organizations or their initiatives",,,,naramhajjar@whitewatermgmt.com,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track),,NA (Entry Track),,,,
419,Professional Track,06-Jan-26,Startup,Entry Track,EdTech,Qatar,Idea,$0.00,NA,Active,08-Mar-26,19/05/2026,NA,NA,NA,,15-Feb-26,,"May 8, 2026",,,,Pending,,2,,,,0,,,,,,"Professional Track is an EdTech platform that 
offers university students structured internship 
programs and applied learning content. The 
platform functions as a plug-in enhancement, 
delivering four sequential training phases that 
develop workplace readiness, management 
skills, leadership capabilities, and applied 
decision-making.",,,,bulent.bedir@itobe.com,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track),,NA (Entry Track),,,,
420,Hire,06-Jan-26,Startup,Entry Track,MobilityTech,Jordan,Idea,$0.00,NA,Active,08-Mar-26,19/05/2026,NA,NA,NA,,15-Feb-26,,"May 8, 2026",,,,Pending,,,,,,,,,,,,"Hire is developing a digital app that simplifies 
and modernizes the vehicle rental process. The 
app connects customers directly with vehicle 
rental companies/offices, allowing users to 
easily browse, compare, and book vehicles via 
their smartphones",,,,nael89779@hbku.edu.qa,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track),,NA (Entry Track),,,,
421,Chemi Negar (Ranoco),31-Jan-26,Startup,Entry Track,AgriTech,,Idea,$0.00,NA,Active,08-Mar-26,19/05/2026,NA,NA,NA,,15-Feb-26,,"May 8, 2026",,,,Pending,,,,,,,,,,,,"Chemi Negar (Ranoco) develops nature-inspired 
technologies for sustainable water management 
and climate-resilient agriculture. Our main 
projects include the Smart Tree, a solar-powered 
system generating clean water and greenery, 
and a Bio-Based Agricultural Gel for soil-free,
water-efficient cultivation.",,,,burhan.deniz@gmail.com,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track),,NA (Entry Track),,,,
422,Gatekeeper,31-Jan-26,Startup,Entry Track,AI/ML/Data,,Idea,$0.00,NA,Active,08-Mar-26,19/05/2026,NA,NA,NA,,15-Feb-26,,"May 8, 2026",,,,Pending,,2,,,,1,,,,,,"Gatekeeper is an early-stage concept for an AI 
governance middleware system that filters and 
controls AI outputs based on national laws, 
institutional policies, and safety requirements. 
The idea is to create a layer between users and 
AI systems to ensure compliance, reduce 
misinformation, and prevent unsafe or harmful 
outputs.",,,,drmyar@cuilahore.edu.pk,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track),,NA (Entry Track),,,,
423,Equiherds,01-Feb-26,Startup,Full Incubation,SportsTech,France,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Equiherds are building a unified marketplace and community platform for horse riders, owners, and professionals. The platform acts as a 'one stop' shop for all equestrian needs and services. It includes features such as a marketplace to buy and sell equipment, rent stables, and a community for horse riding professionals.""",,,Stephanus Bob Slingerland,fp@equiherds.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
424,Acceleration Artificial Intelligence,01-Feb-26,Startup,Full Incubation,AI/ML/Data,Qatar,Pending,,NA,Active,,,Pending,Obtaining,,,,,,,,,Tech2 Unit 210-206,,2,0,0,0,3,,,,,,"""AAI is building AI Agents to automate repetitive and low-value work in day-to-day business. They have two products: AI Email Agent and AI Chatbot. Their unique value proposition is in being able to integrate AI into internal company workflows, retrieve real-time data and respond to external queries with user's natural tone.""",,,Adham Mohamed,info@getaaisys.com,,Completed,Completed,MOCI,Completed,Completed,20-Feb-26,19-Feb-27,Completed,Completed,Completed,,,,
425,TSLM,01-Feb-26,Startup,Full Incubation,AI/ML/Data,Qatar,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""TSLM is a Qatar-based SaaS digital platform designed to help people discover, book, and manage event services. Today, most event vendors in Qatar manage their event-based operations through WhatsApp and Instagram, which often leads to messy conversations, unclear pricing, double bookings, and inconsistent customer experiences. TSLM centralizes the entire journey.""",,,Punit Pande,punitpande9@gmail.com,,Completed,Completed,QFC,Completed,In Progress,19-Apr-26,18-Apr-27,Completed,,,,,,
426,Moovon,01-Feb-26,Startup,Full Incubation,SportsTech,Italy,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Moovon is an AI-driven platform that delivers a fully personalized fitness experience by integrating training, nutrition, mindset, and female-specific intelligence. It creates adaptive plans that evolve weekly based on user data, emotional feedback, and menstrual cycle insights, while offering tailored nutrition and tools for professionals to maintain their coaching style. Two founders located in Italy""",,,andrea rigobello,andrea.rigobello@moovon.fit,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
427,EauRich,01-Feb-26,Startup,Full Incubation,HealthTech,Tunisia,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,2,,,,2,,,,,,"""EauRich is a cleantech startup offering smart water purification and remineralization systems that turn any water source into high-quality, mineral-rich drinking water using advanced filtration, UV disinfection, and IoT monitoring. Designed for homes, hospitality, healthcare, and offices, the solution reduces plastic waste and supports sustainability while providing cost efficiency.""",,,Mohamed Ali Karoui,medali.karoui@epigreenvision.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
428,Debito,01-Feb-26,Startup,Full Incubation,FinTech,Qatar,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Debito is a Qatar based retail technology platform for FMCG stores, offering 20+ modular micro-apps that simplify operations like billing, inventory, accounting, and loyalty without the complexity of traditional POS or ERP systems. Serving 800+ merchants in Qatar and expanding in the GCC, Debito aims to become the default retail operating system for FMCG retailers, delivering transparency, efficiency, and confidence.""",,,HIjas Hassan,hijas@ctrl.qa,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
429,Chorate AI,01-Feb-26,Startup,Full Incubation,Enterprise SaaS,Qatar,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,5,,,,0,,,,,,"""Chorate AI is an on-premise platform that delivers cloud-like AI capabilities, enabling organizations to deploy, fine-tune, and manage AI models securely without relying on external providers. It combines advanced AI services with integrated infrastructure management tools like Kubernetes orchestration and data pipeline automation, ensuring full control, compliance, and scalability within local or hybrid environments.""",,,Muhammad Hamza,hamzainvalid@gmail.com,,Completed,Completed,MOCI,Completed,In Progress,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
430,Syntonym,01-Feb-26,Startup,Full Incubation,HardwareTech,United Kingdom,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,3,,,,9,,,,,,"""Syntonym is building Physical-AI anonymization technology for machine vision applications in mobility and robotics. The tech can be used ondevice, on-edge and in cloud to replace human identities with hyper-realistic, scalable, and synthetic identities in real time (without the need to blur the face)""",,,Batuhan Ozcan,batuhan.ozcan@syntonym.com,,Completed,In Progress,QFC,In Progress,In Progress,,,Awaiting Legal Documents,,In Progress,,,,
431,Qirtas App,01-Feb-26,Startup,Full Incubation,MediaTech,Sweden,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Qirtas is a digital marketplace platform for Arabic books and content. Their unique value proposition lies in being an Arabic digital publishing ecosystem serving both readers and publishers (not just a book reading app).""",,,Alaa Barghoth,hi@qirtasapp.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
432,AloHakeem,01-Feb-26,Startup,Full Incubation,HealthTech,Poland,Pending,,NA,Withdrawn,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Alo Hakeem is a hybrid-tech marketplace digitizing home healthcare in Syria’s fragmented market. They bridge the gap between families and licensed medical professionals (nurses, physiotherapists, elderly care) through a verified, on-demand platform.""",,,Abdullatif Albaroudi,a.baroudi@alohakeem.com,,Withdrawn,Withdrawn,,Withdrawn,Withdrawn,,,Withdrawn,,Withdrawn,,,,
433,Anabolic Mechanics,01-Feb-26,Startup,Full Incubation,HardwareTech,Qatar,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Anabolic Mechanics is a SaaS startup developing a patented software technology for additive manufacturing / 3D printing applications. Their Anabolic Software is ten times faster than any other 3D Printer software. Their main UVP is in turning standard IDEX printers into high throughput production tools by managing dual head coordination and speed optimizations.""",,,Naram Hajjar,naramhajjar@whitewatermgmt.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
434,Itobe,01-Feb-26,Startup,Full Incubation,EdTech,Turkey,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,2,,,,1,,,,,,"""Itobe is developing a SaaS online education and career platform that bridges the gap between education and employment. For individuals, the platform provides structured career pathways that guide users step by step from beginner level to job readiness. For companies, Itobe functions as an integrated upskilling and hiring infrastructure""",,,Bulent Bedir,bulent.bedir@itobe.com,,Completed,Completed,In Progress,Completed,Awaiting Legal Documents,,,Completed,Completed,Completed,,,,
435,Merath,01-Feb-26,Startup,Full Incubation,FashionTech,Qatar,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,4,,,,3,,,,,,"""Merath is a SaaS marketplace and community platform for second hand luxury products. It includes a sharing model for authenticated second hand designer handbags, accessories, and luxury apparel and offers concierge deliveries, PR events and brand collaborations.""",,,Nadine Elkholy,nael89779@hbku.edu.qa,,Completed,Completed,MOCI,Completed,In Progress,,,Completed,will register by them self,Completed,Completed,Completed,Completed,Completed
436,Opramos,01-Feb-26,Startup,Full Incubation,HealthTech,Turkey,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Opramos are a HealthTech startup developing the world’s first smartphone-embedded fundus camera for early detection of chronic diseases such as diabetes, hypertension, and cardiovascular disease. The tech includes a multispectral imaging system that captures high resolution retinal data and an AI system that analyses the data to proactively detect diseases before symptoms appear.""",,,Burhan Deniz,burhan.deniz@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,Awaiting Legal Documents,In Progress,,,,
437,MYI Private Limited,01-Feb-26,Startup,Full Incubation,HealthTech,Pakistan,Pending,,NA,Onboarding,,,Pending,,Obtaining,,,,,,,,,,,,,,,,,,,,"""MYI is a biomaterials and medical innovation startup developing a novel surgical or therapeutic solution with planned prototyping, testing, and clinical collaboration work in Qatar. The team includes scientific and clinical advisors such as an HMC surgeon and demonstrates solid technical capability, though commercial experience is limited.""",,,Muhammad Yar,drmyar@cuilahore.edu.pk,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,Awaiting Legal Documents,In Progress,,,,
438,Linkiss,01-Feb-26,Startup,Full Incubation,HealthTech,South Korea,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,0,,,,14,,,,,,"""Linkiss is building an AI-powered platform to make aesthetic medical tourism in Asia easier and safer. It helps patients compare clinics, understand treatment plans, and prepare for their trips through AI interpretation, treatment matching, and digital consultations. Clinics benefit from streamlined lead management and higher conversion rates.""",,,KYURI PARK,kyuri@faceonkorea.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,Awaiting Legal Documents,In Progress,,,,
439,SeekCircuit,01-Feb-26,Startup,Full Incubation,EdTech,Qatar,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,1,,,,1,,,,,,"""SeekCircuit is a hardware-based edtech startup building modular, magnetic, no-solder electronics learning kits for beginners, students, and professionals. Each electronic component is placed on its own custom PCB with standardized connectors and a magnetic base, allowing users to visually build and understand real electronic circuits without soldering""",,,Hesham Eina Abdalla,hesham.eina@gmail.com,,Completed,In Progress,QFC,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,Awaiting Legal Documents,In Progress,,,,
440,Growth Labs,01-Feb-26,Startup,Full Incubation,Enterprise SaaS,Saudi Arabia,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""GrowthLabs is a SaaS platform to manage incubators, accelerators, venture studios, university, funding and other entrepreneurship programs. Their key modules include program management, mentor matching, investor deal rooms, impact tracking, and alumni engagement""",,,Islam Orban,islam@growthlabs.app,,Completed,Completed,QFC,Completed,Awaiting Legal Documents,,,Completed,incubation agreement,Completed,,,,
441,Atomistic Insights,01-Feb-26,Startup,Full Incubation,BioTech,United States,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Atomistic Insights is a US-based biotech startup that’s developing a physics-guided platform to advance precision medicine. Their platform enables earlier identification of resistance mechanisms, hidden binding sites, and population-specific targets, reducing development risk and improving treatment matching. Their long-term vision is to build a foundational platform for population-scale precision medicine, starting with pilots in Qatar’s advanced healthcare ecosystem.""",,,Shiyao Bao,sbao@gatech.edu,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
442,Raven Illusion Doha,01-Feb-26,Startup,Full Incubation,MediaTech,Nigeria,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,3,,,,0,,,,,,"""Raven Illusion Doha is a game and interactive technology startup building QVATAR, a nextgeneration social simulation platform for Qatar. The platform allows users to create digital avatars and engage in immersive, multiplayer social experiences within virtual recreations of real-world locations across Qatar""",,,Precious Rhogho,precious@ravenillusion.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
443,QTechCenter  (QANTRIX),01-Feb-26,Startup,Full Incubation,HardwareTech,Qatar,Pending,,NA,Active,,,Pending,Obtaining,,,,,,,,,,,2,,,,1,,,,,,"""QTechCenter is a Qatar-based deep-tech startup developing locally designed IoT devices, embedded systems, and smart monitoring solutions, supported by an integrated ecommerce and engineering services platform.""",,,ibrahim ibrahim,ibrncfe@gmail.com,,Completed,Completed,MOCI,Completed,Completed,30/05/2026,31/05/2027,Completed,Incubation Agreement ,Completed,Completed,Completed,Completed,Completed
444,OsteoVision Systems,01-Feb-26,Startup,Full Incubation,HealthTech,United States,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""OsteoVision Systems is developing OsteoInsight, a real-time intraosseous imaging platform, enabling direct visualization and targeted treatment of osteoporosis at fracture origin sites. The startup is led by a clinicianinventor with a granted U.S. patent, validated cadaveric proof-of-concept, and a scalable medtech business model.""",,,Abid Qureshi,aqureshi@goldenstateortho.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
445,QubX3D,01-Feb-26,Startup,Full Incubation,HealthTech,Egypt,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,3,,,,1,,,,,,"""QubX3D is a tech health startup developing an AI-powered, cloud-based medical 3D platform that converts CT/MRI (and planned X-ray) images into high-resolution, patient-specific 3D digital models, printable files, and surgical guides. The solution addresses limitations of 2D imaging and the high cost and inaccessibility of traditional medical 3D services, particularly in emerging markets. """,,,Mohamed Hazem,hazem@qubxview.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, with future gate,In Progress,,,,
446,NerdFlow One,01-Feb-26,Startup,Full Incubation,Enterprise SaaS,Pakistan,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""NerdFlow One connects with the tools businesses already use and quietly handles their follow ups, reminders, updates, documentation, and workflow execution. Eliminating repetitive tasks, it provides a unified automation layer that understands context, communicates across workflows, or handles tasks proactively. It eliminates the operational overhead of managing rules, templates, or multiple systems.""",,,Abdul Hadi Butt,hadi@nerdflow.tech,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
447,Muqnea,01-Feb-26,Startup,Full Incubation,Enterprise SaaS,Syria,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""Muqnea is an AI-powered digital platform that helps Arab founders and consultants transform their ideas into clear, compelling, and investment-ready presentations through structured storytelling""",,,Ahmad AlSabbagh,ahmadsbg94@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
448,SocialPin,01-Feb-26,Startup,Full Incubation,Web Services,United Arab Emirates,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""SocialPin is a digital ID and smart networking platform built to replace traditional business cards, event badges, and the fragmented tools people use to share their digital identity. It allows users to consolidate all their contact information, social links and personal details into one dynamic """"pin"""" which can be shared instantly through NFC wearables, QR codes or web links""",,,Khalil Sargi,khalil@sargi.cc,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
449,Pillows & Planes,01-Feb-26,Startup,Full Incubation,TravelTech,Qatar,Pending,,NA,Active,,,Pending,Obtaining,,,,,,,,,Tech2 Unit 210-195,,,,,,,,,,,,"""Pillows & Planes is an AI-powered travel planning and booking platform designed to replicate the personalized experience of a real travel agent through advanced conversational AI""",,,Jassim  Al-dehaimi,jassim2102@gmail.com,,Completed,Completed,QFC,Completed,Completed,23-Apr-26,22-Apr-27,Completed,Completed,Completed,Completed,Completed,Completed,Completed
450,"ADIBA MANAGEMENT
 CONSULTING AND
SERVICES",01-Feb-26,Startup,Full Incubation,HealthTech,Germany,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,Tech2 Unit 210-213,,,,,,,,,,,,"""Adiba is an AI assistant for cardiologists that recommends the most suitable cardiology treatment options based on up-to-date public study data and guidelines.""",,,Elias El Hisnawi,seyia@adiba.app,,Completed,No response , MOCI  ,No response ,No response,,,No response ,Waiting for QSTP feedback; client already registered in QFC (Escalation) ,No response,,,,
451,VHW.AI,01-Feb-26,Startup,Full Incubation,HRTech,United States,Pending,,NA,Onboarding,,,Pending,Obtaining,,,,,,,,,,,,,,,,,,,,,"""VHW.ai is an AI-powered hiring platform designed to bring transparency, trust and verification into modern recruitment systems. It addresses a growing problem faced by candidates, employers and governments: fake or inactive job postings, unverified applicants, inefficient hiring processes, and unreliable workforce data.""",,,Gazala Shaikh,sandhigazala@gmail.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
